,goal_dist_euclid.mean,goal_dist_euclid.std,goal_dist_euclid.max,goal_dist_euclid.min,goal_dist_euclid.median,goal_dist_euclid.kurtosis,goal_dist_euclid.skewness,goal_dist_euclid.sum,goal_dist_euclid.len,goal_dist_manh.mean,goal_dist_manh.std,goal_dist_manh.max,goal_dist_manh.min,goal_dist_manh.median,goal_dist_manh.kurtosis,goal_dist_manh.skewness,goal_dist_manh.sum,goal_dist_manh.len,goal_radial_dist.mean,goal_radial_dist.std,goal_radial_dist.max,goal_radial_dist.min,goal_radial_dist.median,goal_radial_dist.kurtosis,goal_radial_dist.skewness,goal_radial_dist.sum,goal_radial_dist.len,trap_dist_euclid.mean,trap_dist_euclid.std,trap_dist_euclid.max,trap_dist_euclid.min,trap_dist_euclid.median,trap_dist_euclid.kurtosis,trap_dist_euclid.skewness,trap_dist_euclid.sum,trap_dist_euclid.len,trap_dist_manh.mean,trap_dist_manh.std,trap_dist_manh.max,trap_dist_manh.min,trap_dist_manh.median,trap_dist_manh.kurtosis,trap_dist_manh.skewness,trap_dist_manh.sum,trap_dist_manh.len,trap_radial_dist.mean,trap_radial_dist.std,trap_radial_dist.max,trap_radial_dist.min,trap_radial_dist.median,trap_radial_dist.kurtosis,trap_radial_dist.skewness,trap_radial_dist.sum,trap_radial_dist.len,wall_patch_prop
2132,7.535332,2.952756,10.488088,4.582576,7.535332,-2.000000,-0.000000,15.070664,2,10.500000,3.500000,14.000000,7.000000,10.500000,-2.000000,0.000000,21.000000,2,4.582576,0.000000,4.582576,4.582576,4.582576,-3.000000,0.000000,4.582576,1,15.728711,4.196148,19.924859,11.532563,15.728711,-2.000000,0.000000,31.457421,2,51.000000,12.000000,63.000000,39.000000,51.000000,-2.000000,0.000000,102.000000,2,,,,,,,,0.000000,0,0.083333
2133,18.384454,0.108788,18.493242,18.275667,18.384454,-2.000000,0.000000,36.768909,2,33.000000,1.000000,34.000000,32.000000,33.000000,-2.000000,0.000000,66.000000,2,,,,,,,,0.000000,0,44.371706,4.811625,49.183331,39.560081,44.371706,-2.000000,0.000000,88.743411,2,162.000000,17.000000,179.000000,145.000000,162.000000,-2.000000,0.000000,324.000000,2,,,,,,,,0.000000,0,0.000000
2134,13.046169,3.506777,16.552945,9.539392,13.046169,-2.000000,-0.000000,26.092337,2,26.500000,7.500000,34.000000,19.000000,26.500000,-2.000000,0.000000,53.000000,2,9.539392,0.000000,9.539392,9.539392,9.539392,-3.000000,0.000000,9.539392,1,26.089097,16.089097,42.178193,10.000000,26.089097,-2.000000,0.000000,52.178193,2,70.500000,44.500000,115.000000,26.000000,70.500000,-2.000000,0.000000,141.000000,2,10.000000,0.000000,10.000000,10.000000,10.000000,-3.000000,0.000000,10.000000,1,0.000000
2135,3.000000,2.000000,5.000000,1.000000,3.000000,-2.000000,0.000000,6.000000,2,3.000000,2.000000,5.000000,1.000000,3.000000,-2.000000,0.000000,6.000000,2,3.000000,2.000000,5.000000,1.000000,3.000000,-2.000000,0.000000,6.000000,2,29.196578,17.322236,46.518813,11.874342,29.196578,-2.000000,0.000000,58.393155,2,104.500000,63.500000,168.000000,41.000000,104.500000,-2.000000,0.000000,209.000000,2,,,,,,,,0.000000,0,0.000000
2136,9.891232,0.404399,10.295630,9.486833,9.891232,-2.000000,0.000000,19.782463,2,13.000000,1.000000,14.000000,12.000000,13.000000,-2.000000,0.000000,26.000000,2,9.891232,0.404399,10.295630,9.486833,9.891232,-2.000000,0.000000,19.782463,2,31.637031,8.637031,40.274061,23.000000,31.637031,-2.000000,0.000000,63.274061,2,117.500000,30.500000,148.000000,87.000000,117.500000,-2.000000,0.000000,235.000000,2,,,,,,,,0.000000,0,0.194444
2137,15.610304,2.306169,17.916473,13.304135,15.610304,-2.000000,0.000000,31.220608,2,21.000000,4.000000,25.000000,17.000000,21.000000,-2.000000,0.000000,42.000000,2,13.304135,0.000000,13.304135,13.304135,13.304135,-3.000000,0.000000,13.304135,1,30.389675,9.485130,39.874804,20.904545,30.389675,-2.000000,-0.000000,60.779349,2,86.500000,27.500000,114.000000,59.000000,86.500000,-2.000000,0.000000,173.000000,2,,,,,,,,0.000000,0,0.000000
2138,14.114004,2.072410,16.186414,12.041595,14.114004,-2.000000,0.000000,28.228009,2,28.500000,5.500000,34.000000,23.000000,28.500000,-2.000000,0.000000,57.000000,2,,,,,,,,0.000000,0,32.181942,7.302232,39.484174,24.879711,32.181942,-2.000000,0.000000,64.363885,2,94.000000,23.000000,117.000000,71.000000,94.000000,-2.000000,0.000000,188.000000,2,,,,,,,,0.000000,0,0.000000
2139,13.667899,1.920559,15.588457,11.747340,13.667899,-2.000000,-0.000000,27.335797,2,22.500000,2.500000,25.000000,20.000000,22.500000,-2.000000,0.000000,45.000000,2,11.747340,0.000000,11.747340,11.747340,11.747340,-3.000000,0.000000,11.747340,1,33.435469,8.920168,42.355637,24.515301,33.435469,-2.000000,0.000000,66.870939,2,132.500000,35.500000,168.000000,97.000000,132.500000,-2.000000,0.000000,265.000000,2,,,,,,,,0.000000,0,0.142857
2140,7.697325,2.598305,10.295630,5.099020,7.697325,-2.000000,0.000000,15.394650,2,10.000000,4.000000,14.000000,6.000000,10.000000,-2.000000,0.000000,20.000000,2,7.697325,2.598305,10.295630,5.099020,7.697325,-2.000000,0.000000,15.394650,2,33.985507,8.275586,42.261093,25.709920,33.985507,-2.000000,-0.000000,67.971013,2,135.500000,30.500000,166.000000,105.000000,135.500000,-2.000000,0.000000,271.000000,2,,,,,,,,0.000000,0,0.000000
2141,17.281791,4.397692,21.679483,12.884099,17.281791,-2.000000,0.000000,34.563582,2,35.000000,11.000000,46.000000,24.000000,35.000000,-2.000000,0.000000,70.000000,2,,,,,,,,0.000000,0,49.416020,9.516145,58.932164,39.899875,49.416020,-2.000000,-0.000000,98.832039,2,242.500000,42.500000,285.000000,200.000000,242.500000,-2.000000,0.000000,485.000000,2,,,,,,,,0.000000,0,0.000000
2142,30.244341,0.529025,30.773365,29.715316,30.244341,-2.000000,0.000000,60.488681,2,62.000000,1.000000,63.000000,61.000000,62.000000,-2.000000,0.000000,124.000000,2,,,,,,,,0.000000,0,76.108706,10.048128,86.156834,66.060578,76.108706,-2.000000,0.000000,152.217412,2,337.500000,33.500000,371.000000,304.000000,337.500000,-2.000000,0.000000,675.000000,2,,,,,,,,0.000000,0,0.083333
2143,9.971675,0.752130,10.723805,9.219544,9.971675,-2.000000,0.000000,19.943350,2,15.000000,4.000000,19.000000,11.000000,15.000000,-2.000000,0.000000,30.000000,2,,,,,,,,0.000000,0,29.461603,1.230415,30.692019,28.231188,29.461603,-2.000000,0.000000,58.923207,2,100.500000,5.500000,106.000000,95.000000,100.500000,-2.000000,0.000000,201.000000,2,,,,,,,,0.000000,0,0.000000
2144,9.000000,8.000000,17.000000,1.000000,9.000000,-2.000000,0.000000,18.000000,2,9.000000,8.000000,17.000000,1.000000,9.000000,-2.000000,0.000000,18.000000,2,1.000000,0.000000,1.000000,1.000000,1.000000,-3.000000,0.000000,1.000000,1,53.230905,7.998173,61.229078,45.232732,53.230905,-2.000000,0.000000,106.461810,2,209.500000,33.500000,243.000000,176.000000,209.500000,-2.000000,0.000000,419.000000,2,,,,,,,,0.000000,0,0.000000
2145,34.599586,1.539036,36.138622,33.060551,34.599586,-2.000000,0.000000,69.199173,2,69.500000,2.500000,72.000000,67.000000,69.500000,-2.000000,0.000000,139.000000,2,,,,,,,,0.000000,0,44.547263,5.151832,49.699095,39.395431,44.547263,-2.000000,0.000000,89.094526,2,152.000000,32.000000,184.000000,120.000000,152.000000,-2.000000,0.000000,304.000000,2,,,,,,,,0.000000,0,0.000000
2146,13.247465,7.416513,20.663978,5.830952,13.247465,-2.000000,-0.000000,26.494930,2,23.500000,13.500000,37.000000,10.000000,23.500000,-2.000000,0.000000,47.000000,2,5.830952,0.000000,5.830952,5.830952,5.830952,-3.000000,0.000000,5.830952,1,35.921924,6.528047,42.449971,29.393877,35.921924,-2.000000,0.000000,71.843847,2,106.000000,22.000000,128.000000,84.000000,106.000000,-2.000000,0.000000,212.000000,2,,,,,,,,0.000000,0,0.000000
