,HEIGHT,WIDTH,NUM_TRAPS,NUM_GOALS,PATH_NOISE_PROB,BLIND_SWITCH_PROB,SARSA,MCCONTROL,QLEARNING,DQLEARNING
1417,30,26,9,3,0.211181,0.131904,0.990000,-2.000000,0.992000,-2.000000
1418,19,13,20,5,0.131559,0.006265,0.998000,0.998000,0.998000,0.998000
1419,25,26,23,2,0.176253,0.183415,0.997000,0.991000,0.997000,-2.000000
1420,21,12,30,3,0.342358,0.111877,0.995000,0.995000,0.995000,-2.000000
1421,19,20,13,2,0.125066,0.018385,0.994000,-2.000000,0.994000,-2.000000
1422,20,24,22,1,0.322302,0.188207,-2.000000,-1.002000,-2.000000,-2.000000
1423,16,19,19,2,0.458831,0.208437,0.998000,0.998000,0.998000,0.998000
1424,17,18,12,4,0.282189,0.204980,-2.000000,-1.000000,0.997000,-2.000000
1425,24,28,19,4,0.054070,0.160628,0.998000,0.998000,0.998000,0.998000
1426,27,10,14,1,0.404753,0.032944,-2.000000,-1.003000,-2.000000,-2.000000
1427,24,20,17,1,0.232093,0.230752,-2.000000,-1.001000,-2.000000,-2.000000
1428,21,17,25,1,0.215808,0.073121,0.998000,0.998000,0.998000,0.998000
1429,29,19,21,5,0.395357,0.183304,0.995000,0.995000,0.995000,0.995000
1430,13,14,31,5,0.462137,0.047650,-2.000000,0.996000,0.996000,-2.000000
1431,19,15,21,5,0.461011,0.108537,0.996000,-2.000000,0.996000,0.996000
1432,20,23,19,2,0.017276,0.057455,-2.000000,0.985000,-2.000000,-2.000000
1433,29,12,8,3,0.126991,0.022990,0.998000,0.998000,0.998000,0.998000
1434,22,28,19,3,0.150712,0.144656,0.995000,0.995000,0.995000,0.995000
1435,12,10,26,5,0.404697,0.244289,1.000000,1.000000,1.000000,1.000000
1436,28,21,29,5,0.346815,0.197865,0.996000,0.996000,0.996000,-2.000000
1437,26,26,24,3,0.214625,0.043072,-2.000000,-2.000000,-2.000000,-2.000000
1438,15,15,14,5,0.463807,0.225693,1.000000,1.000000,1.000000,1.000000
1439,22,10,8,4,0.357563,0.051115,-2.000000,-2.000000,-2.000000,-2.000000
1440,19,21,14,5,0.184606,0.249564,0.996000,0.996000,0.996000,-2.000000
1441,26,14,8,2,0.296479,0.139641,0.992000,0.992000,0.990000,-2.000000
1442,30,28,12,4,0.094075,0.063978,-2.000000,0.989000,-2.000000,-2.000000
1443,30,20,25,4,0.278567,0.205850,0.996000,0.996000,0.996000,-2.000000
1444,23,24,22,3,0.015095,0.216375,0.987000,0.987000,-2.000000,-2.000000
1445,13,28,26,3,0.170796,0.213238,-2.000000,0.987000,-2.000000,-2.000000
1446,29,12,25,2,0.269232,0.183809,-2.000000,0.991000,0.991000,-2.000000
1447,10,17,26,1,0.464092,0.025050,-2.000000,-1.000000,-2.000000,-2.000000
1448,31,12,23,4,0.093123,0.184374,-2.000000,-2.000000,-2.000000,-2.000000
1449,15,17,22,1,0.492647,0.217159,-2.000000,-1.003000,-2.000000,-2.000000
1450,21,24,28,2,0.271419,0.064497,-2.000000,-1.006000,-2.000000,-2.000000
1451,17,28,10,3,0.161168,0.095834,-2.000000,-2.000000,-2.000000,-2.000000
1452,17,18,21,1,0.297671,0.037347,-2.000000,-1.000000,-2.000000,-2.000000
1453,19,25,18,3,0.234259,0.201145,0.996000,0.996000,0.996000,0.996000
1454,20,17,23,5,0.154377,0.153704,-2.000000,-2.000000,0.995000,-2.000000
1455,17,15,9,1,0.127689,0.125676,0.998000,0.998000,0.998000,0.998000
1456,13,24,20,3,0.351341,0.183141,-2.000000,0.989000,-2.000000,-2.000000
1457,17,16,15,2,0.139047,0.231003,0.996000,0.996000,0.996000,0.996000
1458,28,31,10,4,0.131421,0.167656,-2.000000,-2.000000,0.995000,-2.000000
1459,25,31,24,4,0.060274,0.087894,0.994000,0.994000,0.994000,-2.000000
1460,21,13,23,5,0.187259,0.088044,-2.000000,0.991000,-2.000000,-2.000000
1461,10,12,15,5,0.495516,0.083066,0.996000,0.995000,0.996000,-2.000000
1462,31,26,14,4,0.203099,0.023221,0.996000,0.994000,0.996000,-2.000000
1463,28,14,19,4,0.457783,0.122748,-2.000000,-2.000000,-2.000000,-2.000000
1464,22,16,11,2,0.288159,0.131616,0.997000,0.997000,0.997000,-2.000000
1465,29,24,29,5,0.233966,0.247472,-2.000000,-2.000000,-2.000000,-2.000000
1466,17,25,18,5,0.110868,0.025716,-2.000000,-2.000000,-2.000000,-2.000000
1467,21,28,28,3,0.006425,0.094073,0.993000,-2.000000,0.993000,-2.000000
1468,28,30,21,2,0.019774,0.081247,-2.000000,-2.000000,-2.000000,-2.000000
1469,17,28,20,5,0.472311,0.155283,0.993000,-2.000000,0.993000,-2.000000
1470,22,28,22,1,0.032744,0.056265,-2.000000,-2.000000,-2.000000,-2.000000
1471,14,21,25,5,0.444285,0.058397,0.997000,0.997000,0.997000,0.997000
1472,22,25,11,4,0.408830,0.196776,0.998000,0.996000,0.998000,0.998000
1473,17,28,25,2,0.128233,0.223834,-2.000000,-1.003000,-2.000000,-2.000000
1474,22,22,19,3,0.061367,0.130462,-2.000000,0.991000,-2.000000,-2.000000
1475,11,16,20,2,0.035506,0.060936,-2.000000,0.991000,0.991000,-2.000000
1476,29,11,22,3,0.000805,0.130317,-2.000000,-1.003000,-2.000000,-2.000000
1477,22,25,31,5,0.391803,0.054648,-2.000000,0.992000,-2.000000,-2.000000
1478,25,27,11,4,0.173938,0.073556,0.994000,0.994000,0.994000,-2.000000
1479,20,15,23,3,0.325633,0.210048,-2.000000,0.992000,0.995000,-2.000000
1480,10,28,29,1,0.097953,0.096716,0.997000,0.997000,0.997000,0.997000
1481,29,31,30,2,0.285923,0.151218,0.995000,0.995000,0.995000,-2.000000
1482,31,27,24,2,0.047695,0.163978,-2.000000,-2.000000,-2.000000,-2.000000
1483,10,23,30,4,0.366913,0.184387,-2.000000,0.996000,-2.000000,-2.000000
1484,13,22,10,4,0.279712,0.226217,-2.000000,0.990000,-2.000000,-2.000000
1485,20,24,21,2,0.146648,0.044349,-2.000000,-1.004000,-2.000000,-2.000000
1486,12,30,20,3,0.109431,0.099567,-2.000000,-1.001000,-2.000000,-2.000000
1487,22,17,20,3,0.423161,0.190649,-2.000000,-2.000000,-2.000000,-2.000000
1488,17,14,22,1,0.183428,0.188608,-2.000000,0.991000,-2.000000,-2.000000
1489,20,27,14,1,0.497961,0.215044,-2.000000,-1.001000,-2.000000,-2.000000
1490,23,11,15,5,0.106538,0.097040,0.998000,0.998000,0.998000,0.998000
1491,29,14,9,4,0.183785,0.089901,-2.000000,-1.000000,-2.000000,-2.000000
1492,24,26,25,2,0.068594,0.207495,-2.000000,-1.000000,-2.000000,-2.000000
1493,22,17,23,1,0.023996,0.129784,0.996000,0.996000,0.996000,0.996000
1494,27,11,20,4,0.297256,0.178088,0.996000,0.996000,0.996000,-2.000000
1495,15,31,21,3,0.132019,0.059503,0.992000,0.994000,0.994000,-2.000000
1496,17,25,9,3,0.247928,0.037308,-2.000000,-1.001000,-2.000000,-2.000000
1497,30,25,10,4,0.393773,0.108934,-2.000000,-2.000000,-2.000000,-2.000000
1498,26,28,19,4,0.259563,0.030553,-2.000000,0.992000,0.992000,-2.000000
1499,17,16,16,2,0.053317,0.161329,-2.000000,-1.000000,-2.000000,-2.000000
1500,29,13,27,1,0.429072,0.151673,-2.000000,-1.001000,-2.000000,-2.000000
1501,25,15,28,4,0.203467,0.218974,-2.000000,0.992000,0.996000,-2.000000
1502,23,22,18,3,0.265578,0.162570,-2.000000,0.987000,-2.000000,-2.000000
1503,19,11,10,4,0.321706,0.196895,0.994000,0.994000,0.994000,-2.000000
1504,22,16,26,5,0.167549,0.057915,-2.000000,-2.000000,-2.000000,-2.000000
1505,18,27,30,3,0.479697,0.171781,0.995000,0.993000,0.995000,-2.000000
1506,26,25,19,4,0.229026,0.223667,-2.000000,-2.000000,-2.000000,-2.000000
1507,18,19,15,4,0.079428,0.238343,0.996000,0.994000,0.996000,0.996000
1508,21,26,24,4,0.369568,0.023017,0.994000,-2.000000,0.994000,-2.000000
1509,22,13,13,2,0.253291,0.013183,-2.000000,0.995000,0.997000,-2.000000
1510,23,10,16,1,0.115745,0.067433,0.994000,0.994000,-2.000000,-2.000000
1511,10,28,25,5,0.303558,0.214182,-2.000000,-2.000000,-2.000000,-2.000000
1512,25,13,26,2,0.017617,0.234414,0.997000,0.997000,0.997000,-2.000000
1513,31,28,21,4,0.477416,0.055767,-2.000000,0.991000,-2.000000,-2.000000
1514,28,20,15,1,0.310141,0.172987,0.995000,0.995000,0.995000,0.995000
1515,14,26,21,1,0.031363,0.050526,-2.000000,-1.001000,-2.000000,-2.000000
1516,13,25,8,3,0.118687,0.030244,0.998000,0.998000,0.998000,0.998000
1517,16,24,26,4,0.223498,0.054359,0.994000,0.994000,0.994000,-2.000000
1518,16,10,24,5,0.298471,0.097632,0.996000,0.996000,0.996000,-2.000000
1519,25,25,31,1,0.487199,0.143457,-2.000000,0.995000,-2.000000,-2.000000
1520,27,11,13,1,0.145876,0.126345,0.992000,0.992000,0.992000,-2.000000
1521,14,25,28,5,0.280461,0.146654,-2.000000,-2.000000,-2.000000,-2.000000
1522,16,13,31,2,0.447882,0.065577,-2.000000,-1.001000,-2.000000,-2.000000
1523,25,26,14,2,0.055133,0.045070,-2.000000,-2.000000,-2.000000,-2.000000
1524,11,22,30,4,0.147576,0.070951,0.999000,0.999000,0.999000,0.999000
1525,17,14,8,2,0.343642,0.041288,0.997000,0.997000,0.997000,0.997000
1526,15,15,12,4,0.434955,0.022166,-2.000000,-2.000000,-2.000000,-2.000000
1527,30,22,15,4,0.262368,0.053845,-2.000000,0.994000,0.996000,-2.000000
1528,15,18,22,2,0.345426,0.019508,-2.000000,0.994000,-2.000000,-2.000000
1529,25,29,31,5,0.220917,0.248103,0.997000,0.997000,0.997000,0.997000
1530,19,26,20,1,0.111408,0.111601,-2.000000,0.990000,-2.000000,-2.000000
1531,14,19,19,5,0.467345,0.097580,0.996000,0.996000,0.996000,0.996000
1532,16,17,22,1,0.250434,0.117789,-2.000000,0.997000,0.997000,0.997000
1533,29,18,17,3,0.384249,0.198542,-2.000000,-2.000000,0.993000,-2.000000
1534,28,12,24,5,0.095196,0.162178,0.994000,0.994000,-2.000000,-2.000000
1535,23,13,26,3,0.235585,0.203818,-2.000000,-1.000000,-2.000000,-2.000000
1536,26,22,16,3,0.441243,0.121495,-2.000000,-2.000000,-2.000000,-2.000000
1537,21,25,19,3,0.436797,0.128851,0.995000,0.993000,0.995000,-2.000000
1538,31,25,27,3,0.248832,0.177210,-2.000000,-1.003000,-2.000000,-2.000000
1539,21,14,14,1,0.477100,0.010446,-2.000000,0.992000,-2.000000,-2.000000
1540,31,31,27,4,0.266149,0.198650,-2.000000,-2.000000,-2.000000,-2.000000
1541,25,13,20,2,0.468268,0.131115,0.995000,0.995000,0.995000,-2.000000
1542,16,29,8,4,0.466496,0.086538,0.994000,0.994000,0.994000,-2.000000
1543,25,19,15,1,0.006213,0.165667,-2.000000,-1.001000,-2.000000,-2.000000
